CRS,Tiploc,Description,Stannox
DUS,DUSSDRF,DUSSELDORF HBF,13
ESS,ESSNHBF,ESSEN HBF,20
BUM,BOCHUM,BOCHUM HBF,23
DTM,DORTMND,DORTMUND HBF,25
BNJ,BONNHBF,BONN HBF,31
FRH,CALAFGV,CALAIS FRETHUN GARE VGRS,711
CHV,CLVMEZR,CHARLEVILLE-MEZIERES,748
XIB,BORGSTM,BOURG ST MAURICE,768
AVI,AVIGCMT,AVIGNON C M T,783
CMC,CHAMCLE,CHAMBERY-CHALLES-LES-EAUX,785
BOX,BORDSTJ,BORDEAUX ST. JEAN,792
DAX,DAXX,DAX,794
CER,CERBERE,CERBERE,798
BXS,BRUXMID,BRUXELLES MIDI,850
BBR,BETTMBG,BETTEMBOURG,889
DHS,DNHAAG,DEN HAAG CS,927
AMS,AMSTDAM,AMSTERDAM C.S.,950
ABC,ALTNBRC,ALTNABREAC,1010
BRA,BRORA,BRORA,1021
DNO,DNROBIN,DUNROBIN CASTLE,1023
CUA,CULRAIN,CULRAIN,1037
ARD,ARDGAY,ARDGAY,1041
ASS,ALNESS,ALNESS,1058
DRN,DUIRNSH,DUIRINISH,1072
DCG,DUNCRAG,DUNCRAIG,1074
ATT,ATADALE,ATTADALE,1076
ACH,ACHHSHL,ACHNASHELLACH,1078
ACN,ACHNSHN,ACHNASHEEN,1079
AAT,ACHANLT,ACHANALT,1081
BEL,BEAULY,BEAULY,1089
DIN,DINGWAL,DINGWALL,1091
CBD,CONONBR,CONON BRIDGE,1101
CAG,CARRBDG,CARRBRIDGE,1138
BGR,BOATOFG,BOAT OF GARTEN,1143
AVM,AVIEMRE,AVIEMORE,1144
DLW,DALWHIN,DALWHINNIE,1154
ELG,ELGIN,ELGIN,2007
DUT,DUFTOWN,DUFFTOWN,2011
DYC,DYCE,DYCE,2042
ABD,ABRDEEN,ABERDEEN,2071
XAC,ABRDCH,ABERDEEN CLAYHILLS CAR.M.D,2075
ARB,ARBROTH,ARBROATH,3023
CAN,CNST,CARNOUSTIE,3031
BYL,BRRYLNK,BARRY LINKS,3038
BSI,BALMOSS,BALMOSSIE,3040
BYF,BRFRY,BROUGHTY FERRY,3041
DEE,DUNDETB,DUNDEE,3054
DUE,DUNDWTC,DUNDEE WEST T.C.,3060
XDE,DUNDEHS,DUNDEE H.S.,3062
BLA,BLARATH,BLAIR ATHOLL,3101
DKD,DUNKELD,DUNKELD & BIRNAM,3106
DBL,DUNANE,DUNBLANE,3161
BEA,BGOALAN,BRIDGE OF ALLAN,3165
CUP,CUPAR,CUPAR,3205
CDD,CDND,CARDENDEN,3248
COW,CWDNBTH,COWDENBEATH,3256
XCJ,CLNYBDJ,CLUNYBRIDGE JN,3257
BTS,BISLND,BURNTISLAND,3291
AUR,ABDO,ABERDOUR,3295
DAG,DALGETY,DALGETY BAY,3298
DFL,DNFRMQM,DUNFERMLINE QUEEN MARGARET,3319
DFE,DNFRMLE,DUNFERMLINE TOWN,3321
ALO,ALLOA,ALLOA,3375
BHG,BTHGATE,BATHGATE,4010
EDP,EDINPRK,EDINBURGH PARK,4039
BRC,BREICH,BREICH,4088
ADW,ADIEWEL,ADDIEWELL,4090
CUH,CURRIEH,CURRIEHILL,4114
DAM,DLMY,DALMENY,4201
EDB,EDINBUR,EDINBURGH,4303
EGY,EDINGWY,EDINBURGH GATEWAY,4304
XCN,CRGNTNY,CRAIGENTINNY T.&R.S.M.D,4521
BSU,BRUSTAN,BRUNSTANE,4635
EKB,ESKBANK,ESKBANK,4709
DRM,DREMJ,DREM,4821
DUN,DUNBAR,DUNBAR,4827
CMO,CAMELON,CAMELON,5037
ARG,ARISAIG,ARISAIG,6004
BSL,BEASDAL,BEASDALE,6005
CPA,CORPACH,CORPACH,6010
BNV,BANAVIE,BANAVIE,6013
CRR,CORROUR,CORROUR,6031
BRO,BOORCHY,BRIDGE OF ORCHY,6037
CON,CONNELF,CONNEL FERRY,6046
DAL,DLMALLY,DALMALLY,6053
CNR,CRNLRCH,CRIANLARICH,6058
AUI,ARDLUI,ARDLUI,6059
ART,ARCHRAT,ARROCHAR & TARBET,6101
CGD,CRGDRN,CRAIGENDORAN,6111
CDR,CDRS,CARDROSS,6113
BHC,BALLOCH,BALLOCH,6121
ALX,ALXANDR,ALEXANDRIA,6123
DLR,DLREOCH,DALREOCH,6134
DBC,DMBRTNC,DUMBARTON CENTRAL,6136
DBE,DMBRTNE,DUMBARTON EAST,6137
BWG,BOWLING,BOWLING,6203
DMR,DALMUIR,DALMUIR,6211
DMY,DRUMRY,DRUMRY,6217
DMC,DRMCHPL,DRUMCHAPEL,6219
ANL,ANSL,ANNIESLAND,6222
KVD,DAWSHLM,KELVINDALE,6230
ASF,ASFIELD,ASHFIELD,6245
BRN,BSDN,BEARSDEN,6305
CYK,CLYBANK,CLYDEBANK,6345
CHC,CHRNGXG,CHARING CROSS,6365
XED,EFLDTMD,EASTFIELD H.S.,6430
BBG,BSHB,BISHOPBRIGGS,6443
CRO,CROY,CROY,6457
BNL,BNHL,BARNHILL,6523
AXP,ALXPD,ALEXANDRA PARADE,6525
DST,DUKEST,DUKE STREET,6527
BLG,BLGRVE,BELLGROVE,6701
CAY,CNTY,CARNTYNE,6706
EST,ESHS,EASTERHOUSE,6712
BAI,BLAIRHL,BLAIRHILL,6714
BCN,BRNCHTN,BRANCHTON,7005
DFR,DRMFCHR,DRUMFROCHAR,7009
CDY,CRTSDYK,CARTSDYKE,7023
BGS,BOGSTON,BOGSTON,7028
CKT,CROKSTN,CROOKSTON,7118
CKH,CKHL,CORKERHILL,7124
XCK,CKHLCSD,CORKERHILL C.S.M.D.,7125
DUM,DUMBRCK,DUMBRECK,7127
BPT,BISHPTN,BISHOPTON,7132
CDO,CDNL,CARDONALD,7154
BRR,BRHD,BARRHEAD,7224
CMY,CRSMYLF,CROSSMYLOOF,7229
EKL,EKILBRD,EAST KILBRIDE,7231
CCT,CCRT,CATHCART,7238
AND,ANDRSTN,ANDERSTON,7253
AGS,ARGYLST,ARGYLE STREET,7259
BDG,BRIDGTN,BRIDGETON,7269
DAK,DLMRNOK,DALMARNOCK,7272
CML,CARMYLE,CARMYLE,7294
BIO,BALISTN,BAILLIESTON,7296
BGI,BRGDDIE,BARGEDDIE,7297
CUB,CMBRNLD,CUMBERNAULD,7301
CBC,COATBDC,COATBRIDGE CENTRAL,7312
DRU,DRMGLCH,DRUMGELLOCH,7323
ARM,ARMDALE,ARMADALE,7324
ADR,AIRDRIE,AIRDRIE,7327
BKR,BLKRDGE,BLACKRIDGE,7328
COA,COATDYK,COATDYKE,7329
CBS,COATBDS,COATBRIDGE SUNNYSIDE,7331
CAC,CLDRCRX,CALDERCRUIX,7334
CBL,CMBSLNG,CAMBUSLANG,7411
BLH,BLSHL,BELLSHILL,7429
CEA,CLELAND,CLELAND,7430
CRF,CARFIN,CARFIN,7432
XJB,BENHARJ,BENHAR JN,7435
AIR,AIRBLES,AIRBLES,7476
BLT,BLANTYR,BLANTYRE,7486
CTE,CHTLRT,CHATELHERAULT,7490
BUI,BRSDE,BURNSIDE,7553
CFF,CFFT,CROFTFOOT,7555
COI,CROSSHL,CROSSHILL,7573
BUS,BUSBY,BUSBY,7613
CKS,CLRKSTN,CLARKSTON,7615
CLU,CRLK,CARLUKE,7955
CRS,CRSTRS,CARSTAIRS,7962
XBA,BROWNHJ,BROWNHILL JN,8007
DLY,DALRY,DALRY,8101
ASB,ARDRSSB,ARDROSSAN SOUTH BEACH,8198
XAT,ARDRSDS,ARDROSSAN E.M.U. SDG,8200
ADN,ARDRSTN,ARDROSSAN TOWN,8204
ADS,ARDRSHB,ARDROSSAN HARBOUR,8208
BSS,BARASIE,BARASSIE,8411
AYR,AYRR,AYR,8618
XAR,AYRRCSD,AYR C.S.D.,8621
BRL,BRRHL,BARRHILL,8645
DNL,DNLP,DUNLOP,8701
AUK,ACHILCK,AUCHINLECK,8825
DMF,DUMFRES,DUMFRIES,9022
ANN,ANNAN,ANNAN,9033
XKY,CARLILY,CARLISLE N.Y.,9150
CAR,CARLILE,CARLISLE,9161
XUM,CARLTMD,UPPERBY T.M.D.,9195
DLS,DALSTON,DALSTON,9213
AWT,ARMTHWT,ARMATHWAITE,9415
APP,APBY,APPLEBY,9426
DNT,DENT,DENT,9443
ASP,ASPTRIA,ASPATRIA,10021
CKL,CRCK,CORKICKLE,10124
BYS,BRYSTNS,BRAYSTONES,10195
DRI,DRIGG,DRIGG,10205
BUD,BNSD,BURNESIDE,11005
BOC,BOOTLE,BOOTLE,11209
ASK,ASKAM,ASKAM,11225
BIF,BAROW,BARROW-IN-FURNESS,11231
XBF,BAROWCS,BARROW C.S.,11233
DLT,DALTON,DALTON,11271
CAK,CARK,CARK,11331
ARN,ARNSIDE,ARNSIDE,11403
XCS,CRNFUGL,CARNFORTH D&U.G.L.,11519
CNF,CRNF,CARNFORTH,11525
XOA,CRNFNJN,CARNFORTH NORTH JN,11526
BEN,BNTHAM,BENTHAM,11563
CPY,CLPM,CLAPHAM (NTH YORKSHIRE),11565
BAR,BARELA,BARE LANE,11711
BWK,BRWCKUT,BERWICK-UPON-TWEED,12001
CHT,CHHL,CHATHILL,12109
ALM,ALNMOTH,ALNMOUTH FOR ALNWICK,12112
ACK,ACKLNGT,ACKLINGTON,12115
CRM,CRMLNGT,CRAMLINGTON,12136
APN,AIRP,AIRPORT (NEWCASTLE),12401
BNO,BENTMET,BENTON (METRO),12419
BMP,BRMPTNC,BRAMPTON (CUMBRIA),13302
BLL,BRDNML,BARDON MILL,13311
CRB,CRBG,CORBRIDGE,13318
BLO,BLAYDON,BLAYDON,13403
DOT,DNSN,DUNSTON,13523
CLS,CLST,CHESTER-LE-STREET,13571
DHM,DRHM,DURHAM,13702
BNR,BRWHINS,BROCKLEY WHINS,14003
EBL,EBOLDON,EAST BOLDON,14006
CIC,CIVI,PARK LANE (SUNDERLAND),14034
BIL,BLNGHM,BILLINGHAM,15039
BTT,BTRSBY,BATTERSBY,15511
COM,COMONDL,COMMONDALE,15513
