stanox,longitude,latitude
332,-0.069020812,52.17056111
716,0.311965458,50.2951455
730,-5.687339168,56.55053676
1001,-3.527541019,58.59000102
1003,-3.525821511,58.59002144
1005,-3.097976584,58.44169689
1007,-3.453799541,58.51270994
1008,-3.453836682,58.51360775
1009,-3.553756812,58.48279469
1010,-3.705263921,58.38834571
1011,-3.705092968,58.38834798
1012,-3.896881082,58.35690378
1013,-3.941038464,58.25831984
1014,-3.896832925,58.35600615
1015,-3.869654767,58.16505636
1016,-3.730668144,58.1041517
1017,-3.74917863,58.11065456
1021,-3.903543273,58.01970867
1022,-3.893072892,58.02758204
1023,-3.94991135,57.98507374
1024,-3.98803559,57.97100717
1027,-4.158142675,57.98799935
1029,-3.09814784,58.44169542
1031,-4.368257611,57.96750215
1032,-4.368236885,57.96718806
1035,-4.399252226,57.92527399
1037,-4.405638852,57.91976198
1041,-4.362568571,57.88103538
1042,-4.363293139,57.87922484
1044,-4.139793291,57.82689128
1045,-4.158059668,57.83044521
1047,-3.994217223,57.77774728
1052,-4.081231466,57.71165814
1053,-4.081933141,57.71832226
1053,-4.082908622,57.71163055
1058,-4.220966247,57.66441156
1060,-4.302204117,57.64173528
1069,-4.429324756,57.59493053
1070,-5.704640979,57.27984364
1071,-5.714571488,57.27955026
1071,-5.714435883,57.27820567
1072,-5.690387609,57.31982182
1073,-5.666784656,57.33309945
1074,-5.637213773,57.33665582
1075,-5.550556915,57.3517195
1076,-5.454826806,57.39483928
1077,-5.429109227,57.42251099
1078,-5.250824314,57.51184213
1079,-5.072369243,57.57912428
1080,-5.072376809,57.57921397
1081,-4.975468064,57.59294051
1082,-4.809661623,57.62209069
1083,-4.688396321,57.61304661
1084,-4.686724445,57.61308218
1085,-5.427447193,57.42255625
1090,-4.247057142,57.48868286
1091,-4.422579498,57.5941615
1092,-4.42335545,57.59324804
1093,-4.297227053,57.49047452
1094,-4.39867678,57.55215107
1095,-6.467354441,57.52884693
1096,-3.152060197,53.97459491
1097,-4.221564886,57.48104771
1098,-4.224952323,57.48188651
1100,-4.22317675,57.48012076
1100,-4.223285865,57.48191591
1102,-4.223149474,57.47967197
1104,-4.220840673,57.48285754
1105,-2.812534682,58.05571831
1109,-4.178183378,57.48090606
1111,-4.186515659,57.48076185
1112,-4.221619404,57.48194528
1113,-4.214953527,57.48206256
1115,-4.22000742,57.48287221
1119,-4.223122198,57.47922318
1120,-4.194847861,57.48061708
1125,-3.790274007,57.51305542
1126,0.273575369,55.48549076
1127,-3.573024294,57.53813202
1128,-3.542643454,57.53946821
1131,-4.053058233,57.45985116
1133,-4.080534884,57.37741155
1134,-4.092030154,57.34442504
1136,-4.05628454,57.31028669
1138,-3.96823674,57.26153233
1139,-5.66461527,54.94963661
1140,-1.63526621,54.62351952
1141,-1.648969186,53.01418203
1142,-3.876146883,57.19831281
1143,-3.758600948,57.25385952
1144,-3.894476946,57.18809115
1145,-3.931069582,57.12823185
1146,-4.05379194,57.07686176
1147,-4.053841568,57.0777595
1151,-4.095831663,57.05110471
1154,-4.161362805,56.94676167
1155,-1.169943927,55.62887541
1157,-4.182608461,56.87307592
2001,-3.39605385,57.61640239
2002,-3.422132759,57.59489258
2004,-3.389990077,57.55185087
2006,-3.288341486,57.5529289
2007,-3.287021762,57.55294236
2008,-3.254259255,57.56388135
2011,-3.131705296,57.45960284
2014,-2.986344568,57.49681899
2015,-3.022217293,57.50039618
2017,-3.04266135,57.49347357
2018,-3.042652388,57.49315923
2021,-2.853309851,57.42932067
2024,-2.766128043,57.35366011
2028,-2.614604466,57.33652528
2029,-2.61628054,57.33741538
2031,-2.373228089,57.28627044
2032,-2.374905189,57.28806203
2041,-2.337656523,57.26395869
2041,-2.368161876,57.27730248
2042,-2.191987804,57.20493356
2051,-2.226873797,57.22553613
2060,-2.151485732,57.17691722
2061,-2.095915819,57.17809488
2067,0.437020909,53.04334801
2071,-2.099129816,57.1430587
2075,-2.111787837,57.13221452
2076,-1.503757957,53.97424929
2077,-2.098964572,57.14305883
2078,-2.099129696,57.14301379
2079,-2.099212318,57.14301372
2082,-2.111786643,57.13181927
2083,-1.672904005,54.00438921
2084,-2.11165568,57.13221464
2101,-2.098183186,57.09769503
2105,-2.100660042,57.09814222
2109,-2.128589826,57.0612859
2111,-2.153633125,57.0328619
2111,-2.153616872,57.03291582
2112,-2.153666299,57.03291576
2113,-2.225297338,56.96682539
2114,-2.225296796,56.96673555
2115,-2.328615132,56.93335823
3001,-2.361217177,56.90631806
3002,-2.36285912,56.90631331
3003,-2.436129537,56.79683925
3003,-2.441414005,56.80070159
3004,-2.359575234,56.9063228
3014,-2.472074513,56.71280069
3014,-2.473707994,56.71279449
3017,-2.472018236,56.70830903
3018,-2.468052124,56.68487632
3021,-2.589166207,56.62695517
3023,-2.58893177,56.5595763
3024,-2.588945731,56.56047464
3030,-2.792745613,52.70609591
3031,-2.596951194,56.53675446
3032,-2.609006495,56.52704705
3038,-2.635875677,56.51919509
3039,-2.673834869,56.4977744
3040,-2.723214275,56.48496369
3041,-2.767372864,56.47408823
3043,-2.902107415,56.45002955
3053,-2.963376373,56.44016233
3053,-2.966683399,56.44329018
3054,-2.954289099,56.44192162
3060,-2.955360584,56.44454584
3060,-2.970737713,56.44325853
3062,-2.960225936,56.4445083
3064,-3.157118063,56.42207395
3066,-2.972434291,56.41188018
3067,-3.057388742,56.42927122
3068,-3.202956035,56.40843025
3069,-3.203229357,56.41708898
3095,-3.408754922,56.39467271
3100,-4.096413439,56.80838078
3101,-3.850228763,56.76555047
3102,-3.724829089,56.72975408
3103,0.091070347,54.75967991
3106,-3.589998765,56.66981109
3107,-4.44059476,52.76354528
3108,-3.497797996,56.58429426
3110,-3.451250004,56.49594844
3119,-3.44178324,56.39582059
3121,-3.441732311,56.3944734
3122,-3.440655799,56.40886221
3128,-3.440112941,56.39449222
3134,-3.440316454,56.39988097
3137,-3.439875598,56.38820533
3140,-3.440011211,56.39179784
3140,-3.441766263,56.39537152
3148,-3.439303256,56.39450162
3149,-3.432488701,56.36403082
3150,-3.546090201,56.32309398
3152,-3.697670368,56.28430362
3153,-3.731168691,56.27485387
3155,-3.775821069,56.26253958
3156,-3.936190265,56.20891245
3157,0.434604546,52.76466946
3158,0.643355914,53.75638418
3161,-3.965652445,56.18598159
3161,-3.967262585,56.18595598
3161,-3.967313139,56.18694368
3163,-3.96574429,56.18777741
3165,-3.957748582,56.15735049
3199,-2.972650369,56.40319937
3201,-2.989233578,56.3747397
3202,0.388655194,51.95612423
3203,-2.990850048,56.37463694
3204,-1.456255075,57.68056448
3205,-3.008756664,56.31699041
3207,-3.053420312,56.2950551
3211,-3.286958415,56.32070198
3217,-3.122127396,56.27423549
3219,-3.122302,56.27468316
3220,-3.122354627,56.27647967
3221,-3.122275689,56.2737849
3222,-3.122302,56.27468316
3223,-3.133014231,56.20001008
3226,-3.131402868,56.20002483
3227,-3.132987743,56.19911182
3233,-3.019667056,56.18033127
3234,-3.085370772,56.16809135
3236,-3.132061631,56.16767254
3237,-3.128489623,56.15515301
3237,-3.137324494,56.16320355
3237,-3.134837702,56.16078246
3238,-3.129646618,56.16769463
3239,-3.126218286,56.16830995
3239,-3.128841612,56.16770199
3241,-3.141051125,56.16235156
3242,-3.147111923,56.16256501
3243,-3.096641093,56.16799187
3244,-3.155097251,56.16251759
3246,-3.158281381,56.18270432
3247,-3.156468125,56.17598246
3248,-3.261613028,56.14036078
3249,-3.311331783,56.1353504
3250,-3.164261486,56.16737343
3251,-3.157824268,56.16752375
3253,-3.157821565,56.16743392
3256,-3.342688438,56.11165147
3257,-3.212149532,56.15029943
3259,-3.344295978,56.11163399
3272,-3.167401942,56.1116357
3273,-3.169036828,56.11251876
3273,-3.16984067,56.11251115
3275,-3.169091312,56.11431529
3283,-3.174154631,56.06934099
3291,-3.233198316,56.05708421
3291,-3.231592976,56.05710024
3295,-3.302709757,56.04594684
3298,-3.303480077,56.04593871
3314,-3.417151464,56.08116706
3315,-3.418790703,56.08204679
3315,-3.416986586,56.07667615
3321,-3.452014828,56.06818197
3323,-3.420572502,56.04924675
3326,-3.399623731,56.04093185
3326,-3.393270223,56.04280089
3328,-3.396284824,56.03737544
3329,-3.399526169,56.03823727
3329,-3.400967865,56.03372809
3331,-3.396187508,56.03468085
3333,-3.396155073,56.03378266
3334,-3.393205471,56.0410045
3336,-3.388198214,56.03566958
3338,-3.3775769,56.00153545
3339,-3.44504493,56.01240873
3341,-3.478356326,56.03453221
3342,-3.456662379,56.06363437
3343,-3.684304388,56.01670554
3345,-3.719043986,56.08253478
3373,-6.193831264,51.8237338
